condition_id,car_id,entry_date,entry_type,description,cost,reported_by,is_repaired,repair_date,notes
319,75,2025-01-05,Damage,Scratch,225.23,Customer,false,,
320,75,2025-01-09,Damage,Dent,294.7,System,true,2025-01-11,Regular check
321,75,2025-08-12,Damage,No Damage,0.0,System,false,,
322,76,2023-10-05,Damage,Scratch,60.99,Customer,false,,Major repair required
323,77,2025-12-05,Maintenance,Brake Service,702.97,Customer,true,2025-12-12,Warranty repair
324,77,2025-08-02,Damage,Headlight Broken,1282.24,Customer,true,2025-08-12,
325,77,2024-07-18,Damage,Headlight Broken,1227.16,Employee,true,2024-07-28,Major repair required
326,77,2025-07-03,Damage,Mirror Damage,589.11,Employee,false,,
327,78,2025-07-07,Maintenance,Engine Repair,1201.2,Employee,true,2025-07-17,Minor issue
328,78,2025-09-18,Damage,Broken Window,450.96,Employee,false,,Warranty repair
329,78,2025-04-18,Maintenance,Suspension Repair,1287.04,System,true,2025-04-26,
330,78,2024-08-08,Maintenance,Battery Replacement,462.3,Customer,true,2024-08-16,
331,78,2024-03-03,Damage,Broken Window,588.29,Customer,true,2024-03-04,Major repair required
332,78,2025-08-04,Damage,Dent,718.14,Employee,true,2025-08-06,
333,79,2023-03-20,Damage,Tire Damage,278.63,Employee,true,2023-03-23,Minor issue
334,79,2024-12-21,Maintenance,Battery Replacement,694.96,System,true,2025-01-04,Minor issue
335,79,2023-11-23,Maintenance,AC Service,800.43,Customer,true,2023-11-30,Major repair required
336,79,2024-11-14,Damage,Dent,399.22,Customer,false,,Regular check
337,79,2024-07-22,Maintenance,Oil Change,191.45,System,true,2024-07-31,Warranty repair
338,80,2024-06-21,Damage,Broken Window,833.51,Employee,true,2024-06-27,
339,80,2025-12-14,Damage,Broken Window,1015.72,Employee,true,2025-12-20,
340,80,2023-05-10,Maintenance,Battery Replacement,413.62,Employee,true,2023-05-11,Regular check
341,80,2023-05-12,Damage,Headlight Broken,842.32,Customer,false,,Warranty repair
342,81,2025-09-10,Maintenance,Engine Repair,1696.74,Employee,true,2025-09-21,Minor issue
343,82,2025-07-19,Damage,Broken Window,984.55,System,false,,Major repair required
344,82,2025-06-28,Maintenance,Regular Maintenance,549.8,Employee,true,2025-06-29,
345,82,2023-11-15,Damage,Mirror Damage,679.89,Customer,false,,Major repair required
346,82,2024-01-25,Damage,Bumper Damage,1090.15,System,false,,Major repair required
347,82,2023-09-13,Damage,Bumper Damage,546.89,Employee,false,,Minor issue
348,82,2024-01-11,Maintenance,Engine Repair,3865.38,Employee,true,2024-01-14,Minor issue
349,82,2025-07-21,Maintenance,AC Service,898.3,Employee,true,2025-07-29,Major repair required
350,82,2025-10-08,Maintenance,Engine Repair,3826.69,Employee,true,2025-10-17,Regular check
351,83,2025-05-17,Maintenance,Oil Change,191.11,System,true,2025-05-31,Warranty repair
352,83,2025-08-01,Maintenance,Regular Maintenance,369.02,System,true,2025-08-14,Minor issue
353,83,2024-10-09,Damage,Broken Window,1125.76,System,false,,Regular check
354,83,2023-03-19,Damage,Headlight Broken,450.13,System,false,,Major repair required
355,84,2024-04-22,Damage,Scratch,200.96,Customer,false,,Major repair required
356,84,2024-10-09,Maintenance,Suspension Repair,2182.33,Customer,true,2024-10-10,Minor issue
357,84,2025-01-06,Damage,Bumper Damage,1361.36,System,false,,Warranty repair
358,85,2023-04-13,Maintenance,Tire Replacement,555.49,Customer,true,2023-04-19,Major repair required
359,85,2023-11-09,Maintenance,Brake Service,470.72,Customer,true,2023-11-15,Warranty repair
360,85,2024-10-06,Damage,Interior Stain,379.96,System,true,2024-10-12,Minor issue
361,86,2023-12-06,Maintenance,Suspension Repair,1158.0,System,true,2023-12-12,
362,87,2023-03-15,Damage,Broken Window,569.15,System,true,2023-03-29,Minor issue
363,87,2025-04-02,Damage,Dent,742.42,Customer,false,,
364,87,2023-09-09,Damage,Interior Stain,356.51,System,true,2023-09-13,Minor issue
365,87,2023-10-12,Maintenance,Brake Service,662.15,System,true,2023-10-22,
366,87,2024-03-20,Maintenance,Regular Maintenance,364.63,Customer,true,2024-03-28,
367,87,2023-02-06,Maintenance,Brake Service,565.3,Customer,true,2023-02-17,
368,87,2024-06-24,Maintenance,Regular Maintenance,242.69,Customer,true,2024-06-30,Major repair required
369,87,2025-04-05,Damage,Interior Stain,348.19,System,true,2025-04-12,Minor issue
370,88,2024-10-18,Maintenance,Tire Replacement,406.2,Employee,true,2024-10-19,Major repair required
371,88,2025-11-18,Maintenance,Tire Replacement,745.08,Employee,true,2025-11-26,Warranty repair
372,89,2023-11-24,Damage,Dent,631.59,Employee,true,2023-11-28,Minor issue
373,89,2024-02-11,Maintenance,Engine Repair,4567.63,System,true,2024-02-20,Warranty repair
374,89,2023-09-19,Damage,Headlight Broken,812.98,Customer,true,2023-09-21,Warranty repair
375,89,2023-12-12,Maintenance,Battery Replacement,367.21,Customer,true,2023-12-20,
376,89,2025-12-20,Maintenance,Brake Service,460.23,Customer,true,2025-12-28,Warranty repair
377,89,2023-05-04,Maintenance,Oil Change,199.85,System,true,2023-05-07,Warranty repair
378,89,2023-07-17,Maintenance,Battery Replacement,417.67,Employee,true,2023-07-30,Regular check
379,89,2025-11-06,Maintenance,Tire Replacement,1194.22,System,true,2025-11-12,Warranty repair
380,90,2024-01-05,Maintenance,Suspension Repair,2292.02,Employee,true,2024-01-11,
381,90,2025-03-18,Damage,Scratch,144.64,System,false,,Regular check
382,90,2025-09-19,Damage,Tire Damage,243.55,System,false,,
383,90,2025-05-07,Damage,Dent,583.77,System,true,2025-05-10,
384,90,2025-12-10,Maintenance,Suspension Repair,2758.82,System,true,2025-12-15,Major repair required
385,91,2024-11-12,Damage,No Damage,0.0,Customer,true,2024-11-23,Warranty repair
386,91,2024-09-13,Maintenance,Tire Replacement,1108.45,System,true,2024-09-14,Warranty repair
387,91,2023-06-16,Damage,Dent,561.27,Customer,true,2023-06-26,Warranty repair
388,92,2023-06-09,Damage,Bumper Damage,1107.81,Customer,false,,Regular check
389,92,2024-04-05,Damage,Scratch,294.21,System,false,,Major repair required
390,92,2025-05-28,Maintenance,Suspension Repair,1957.89,Customer,true,2025-06-11,Minor issue
391,92,2023-01-10,Maintenance,Suspension Repair,2870.93,Customer,true,2023-01-15,Minor issue
392,92,2023-05-14,Damage,Interior Stain,212.19,System,true,2023-05-15,Major repair required
393,92,2023-04-20,Damage,Broken Window,1100.07,Customer,false,,
394,92,2025-09-05,Maintenance,Oil Change,1455.9546322546844,System,true,2025-09-08,
395,92,2023-04-28,Damage,Headlight Broken,660.16,Employee,false,,Regular check
396,93,2025-11-24,Maintenance,Brake Service,414.3,Customer,true,2025-11-26,Major repair required
397,93,2023-07-13,Maintenance,Battery Replacement,423.92,System,true,2023-07-20,Minor issue
398,93,2023-05-09,Damage,Scratch,239.56,Employee,false,,Major repair required
399,94,2023-02-17,Damage,Dent,722.95,Customer,true,2023-02-26,Regular check
400,94,2023-08-03,Maintenance,Brake Service,629.35,Employee,true,2023-08-05,Minor issue
401,94,2025-10-13,Maintenance,Engine Repair,2593.32,System,true,2025-10-22,Major repair required
402,94,2025-06-26,Damage,Tire Damage,381.01,Employee,true,2025-07-02,Warranty repair
403,94,2024-10-27,Maintenance,Transmission Service,6182.23,Customer,true,2024-11-10,
404,94,2024-03-14,Maintenance,Regular Maintenance,224.66,Employee,true,2024-03-24,Minor issue
405,94,2024-03-23,Damage,Interior Stain,404.76,Customer,false,,Warranty repair
406,94,2023-04-11,Maintenance,Regular Maintenance,384.78,System,true,2023-04-25,Warranty repair
407,95,2025-10-14,Damage,Interior Stain,103.1,Customer,false,,Regular check
408,95,2025-10-18,Damage,Interior Stain,472.96,Employee,true,2025-10-29,Warranty repair
409,95,2025-01-11,Damage,Broken Window,861.83,Customer,false,,Major repair required
410,95,2023-09-28,Damage,Bumper Damage,1751.41,Customer,false,,Minor issue
411,95,2023-08-19,Damage,Bumper Damage,1144.47,Customer,false,,
412,95,2024-01-16,Maintenance,Oil Change,115.88,Employee,true,2024-01-28,Minor issue
413,95,2025-02-27,Damage,Mirror Damage,505.12,Customer,true,2025-03-12,Warranty repair
414,95,2023-04-05,Maintenance,Battery Replacement,355.95,Employee,true,2023-04-17,Major repair required
415,96,2024-06-17,Damage,Bumper Damage,505.71,System,true,2024-06-25,Warranty repair
416,96,2024-11-03,Damage,Bumper Damage,635.7,System,false,,Warranty repair
417,96,2024-01-13,Damage,Tire Damage,286.97,Customer,false,,Minor issue
418,96,2025-09-01,Maintenance,Suspension Repair,1413.7,Customer,true,2025-09-07,Minor issue
419,96,2024-11-28,Damage,Broken Window,455.07,Customer,false,,Warranty repair
420,97,2023-07-11,Maintenance,Regular Maintenance,532.92,System,true,2023-07-21,
421,98,2023-06-04,Damage,Bumper Damage,861.35,Employee,true,2023-06-11,Major repair required
422,98,2023-06-14,Damage,Bumper Damage,739.41,Employee,true,2023-06-16,Warranty repair
423,99,2024-01-23,Maintenance,Tire Replacement,427.02,System,true,2024-01-27,
424,99,2024-10-21,Maintenance,Transmission Service,2860.09,System,true,2024-10-25,Regular check
425,99,2025-11-25,Damage,Bumper Damage,865.22,Customer,true,2025-12-02,Warranty repair
426,99,2023-10-08,Damage,Dent,272.96,Employee,false,,Major repair required
427,100,2025-07-26,Damage,Broken Window,360.75,Customer,true,2025-08-02,Minor issue
428,100,2025-11-08,Maintenance,Brake Service,764.82,System,true,2025-11-13,
429,101,2025-12-28,Maintenance,Transmission Service,6375.35,Customer,true,2025-12-30,Minor issue
430,102,2023-01-01,Maintenance,Brake Service,480.03,System,true,2023-01-12,Major repair required
431,102,2023-12-22,Maintenance,Brake Service,674.55,System,true,2023-12-30,Regular check
432,102,2023-04-09,Damage,Headlight Broken,931.81,Customer,true,2023-04-17,Warranty repair
433,103,2025-12-23,Damage,No Damage,0.0,Employee,true,2025-12-26,Regular check
434,103,2023-08-17,Maintenance,Tire Replacement,981.42,Employee,true,2023-08-22,Major repair required
435,103,2024-02-21,Damage,Dent,654.29,System,false,,Major repair required
436,103,2023-12-12,Maintenance,Brake Service,525.52,Customer,true,2023-12-18,
437,103,2023-05-15,Damage,Broken Window,748.63,Employee,true,2023-05-16,Regular check
438,103,2024-05-10,Maintenance,AC Service,417.8,Customer,true,2024-05-12,Warranty repair
439,103,2025-12-17,Damage,Mirror Damage,900.68,Customer,true,2025-12-24,Minor issue
440,103,2024-10-15,Damage,No Damage,0.0,System,true,2024-10-17,Major repair required
441,104,2025-06-16,Maintenance,AC Service,420.97,Employee,true,2025-06-29,
442,104,2024-09-12,Maintenance,Regular Maintenance,264.77,System,true,2024-09-25,Major repair required
443,104,2023-10-09,Damage,Broken Window,1100.6,Employee,true,2023-10-22,
444,104,2023-10-27,Maintenance,AC Service,660.31,System,true,2023-11-01,Minor issue
445,104,2025-05-20,Damage,Headlight Broken,443.26,System,false,,
446,105,2023-10-05,Maintenance,AC Service,1145.7,Customer,true,2023-10-10,
447,105,2024-03-24,Maintenance,Battery Replacement,607.62,System,true,2024-04-06,Major repair required
448,105,2025-08-08,Damage,Scratch,159.81,Customer,true,2025-08-11,
449,105,2024-08-19,Maintenance,Transmission Service,4058.67,Customer,true,2024-08-20,Regular check
450,105,2023-06-13,Maintenance,AC Service,923.41,System,true,2023-06-25,Warranty repair
451,105,2023-10-14,Damage,Broken Window,1109.35,Employee,true,2023-10-26,Regular check
452,105,2025-11-23,Damage,Interior Stain,354.67,Customer,true,2025-12-03,Regular check
453,105,2024-06-12,Damage,No Damage,0.0,System,true,2024-06-20,
454,106,2025-05-09,Damage,Headlight Broken,1027.34,Customer,false,,Warranty repair
455,106,2023-10-24,Maintenance,Engine Repair,1264.05,Customer,true,2023-11-07,Regular check
456,106,2023-12-06,Maintenance,Regular Maintenance,268.58,Employee,true,2023-12-11,Warranty repair
457,106,2024-01-07,Maintenance,Transmission Service,3751.38,Customer,true,2024-01-15,
458,106,2023-10-16,Maintenance,Engine Repair,1989.98,Customer,true,2023-10-25,Warranty repair
459,106,2023-10-01,Damage,Scratch,77.58,System,false,,Regular check
460,107,2024-04-05,Damage,Dent,399.76,Customer,false,,Regular check
461,107,2023-01-14,Damage,Broken Window,304.95,Employee,false,,Warranty repair
462,107,2024-02-20,Maintenance,Tire Replacement,939.66,Customer,true,2024-03-05,Regular check
463,107,2023-10-22,Damage,Interior Stain,116.41,Employee,false,,
464,107,2025-12-13,Maintenance,Tire Replacement,991.04,System,true,2025-12-21,Regular check
465,107,2025-01-20,Damage,Scratch,232.24,System,true,2025-01-22,Minor issue
466,108,2023-09-03,Maintenance,Transmission Service,6004.3,Customer,true,2023-09-09,Major repair required
467,108,2025-02-16,Damage,Broken Window,446.23,Employee,true,2025-02-20,Warranty repair
468,109,2023-02-15,Maintenance,Oil Change,98.66,Customer,true,2023-02-19,Regular check
469,109,2025-05-15,Damage,No Damage,0.0,Customer,true,2025-05-16,Major repair required
470,109,2025-06-16,Maintenance,Oil Change,105.98,System,true,2025-06-22,Minor issue
471,109,2025-07-10,Damage,Interior Stain,211.13,System,false,,Regular check
472,109,2023-02-03,Maintenance,Suspension Repair,2339.36,Employee,true,2023-02-16,Minor issue
473,110,2025-07-10,Damage,Interior Stain,399.17,System,true,2025-07-13,Regular check
474,110,2024-07-09,Maintenance,Engine Repair,4573.91,Employee,true,2024-07-17,Minor issue
475,110,2024-08-21,Damage,Broken Window,1138.92,Customer,false,,
476,110,2024-09-01,Damage,Dent,488.36,Customer,true,2024-09-02,Major repair required
477,110,2024-06-01,Maintenance,AC Service,1016.48,System,true,2024-06-11,Warranty repair
478,110,2025-02-10,Maintenance,Suspension Repair,2068.57,Customer,true,2025-02-24,Minor issue
479,110,2023-12-22,Damage,Broken Window,8546.887131141855,System,true,2024-01-01,Regular check
480,111,2023-04-26,Damage,Tire Damage,106.18,Customer,false,,Warranty repair
481,111,2025-06-24,Maintenance,Tire Replacement,618.3,Customer,true,2025-06-30,Warranty repair
482,111,2025-04-25,Damage,Broken Window,555.92,Employee,false,,Warranty repair
483,111,2025-04-06,Damage,Interior Stain,306.44,Employee,true,2025-04-13,Minor issue
484,112,2024-03-10,Maintenance,Oil Change,123.9,System,true,2024-03-22,Regular check
485,113,2025-06-04,Damage,No Damage,0.0,Employee,false,,Warranty repair
486,114,2023-06-17,Damage,Scratch,244.24,System,true,2023-06-25,Warranty repair
487,114,2025-11-24,Maintenance,Suspension Repair,2831.31,Customer,true,2025-11-27,Warranty repair
488,114,2025-10-09,Damage,Mirror Damage,769.92,Employee,true,2025-10-20,Warranty repair
489,114,2023-06-12,Damage,Tire Damage,298.6,Customer,false,,Minor issue
490,114,2024-07-20,Maintenance,Tire Replacement,1009.34,Employee,true,2024-07-21,Minor issue
491,114,2024-07-05,Damage,Dent,749.7,Customer,true,2024-07-16,Regular check
492,114,2025-06-26,Damage,Bumper Damage,665.56,Customer,true,2025-07-05,Regular check
493,115,2024-06-11,Damage,Headlight Broken,1399.75,System,false,,Minor issue
494,115,2025-10-06,Damage,Headlight Broken,1163.57,Customer,true,2025-10-18,Regular check
495,115,2023-03-10,Maintenance,Transmission Service,4629.77,Employee,true,2023-03-14,Regular check
496,116,2024-02-10,Damage,Bumper Damage,8700.446188177306,Customer,false,,Warranty repair
497,116,2025-05-26,Damage,Tire Damage,377.88,System,true,2025-05-31,Warranty repair
498,116,2025-05-28,Maintenance,Tire Replacement,469.87,Customer,true,2025-06-05,Regular check
499,116,2023-05-12,Maintenance,Brake Service,326.19,System,true,2023-05-21,Minor issue
500,116,2023-05-24,Damage,Broken Window,643.9,Employee,true,2023-06-02,Major repair required
501,116,2025-12-24,Maintenance,Regular Maintenance,344.04,Employee,true,2026-01-02,Regular check
502,117,2025-04-22,Damage,Broken Window,954.02,System,false,,
503,117,2024-01-02,Damage,Headlight Broken,433.22,Customer,false,,Regular check
504,117,2024-10-19,Maintenance,Engine Repair,2028.98,Customer,true,2024-11-02,Minor issue
505,118,2025-11-24,Damage,Mirror Damage,713.36,Employee,true,2025-12-04,Regular check
506,118,2023-05-12,Maintenance,Transmission Service,4842.56,System,true,2023-05-26,
507,119,2025-01-10,Maintenance,Engine Repair,1070.48,Customer,true,2025-01-18,Minor issue
508,119,2025-09-06,Damage,Scratch,273.47,System,false,,Regular check
509,119,2025-05-27,Maintenance,AC Service,585.19,Employee,true,2025-06-08,Warranty repair
510,119,2024-03-15,Damage,Interior Stain,197.8,System,true,2024-03-23,Major repair required
511,120,2024-07-02,Damage,No Damage,0.0,Customer,true,2024-07-13,Minor issue
512,120,2024-05-26,Damage,Mirror Damage,707.65,Customer,true,2024-06-07,Warranty repair
513,120,2025-07-12,Damage,Scratch,109.15,Employee,true,2025-07-18,
514,120,2024-08-19,Maintenance,AC Service,501.79,System,true,2024-08-29,Minor issue
515,120,2024-07-18,Damage,Mirror Damage,420.7,Employee,true,2024-07-21,
516,120,2024-10-20,Damage,No Damage,0.0,System,true,2024-10-30,Regular check
517,120,2023-07-28,Maintenance,Engine Repair,3207.44,Customer,true,2023-07-30,
